Date,Open,High,Low,Close,Adj Close,Volume
2021-01-04,375.309998,375.450012,364.820007,368.790009,361.251190,110210800
2021-01-05,368.100006,372.500000,368.049988,371.329987,363.739227,66426200
2021-01-06,369.709991,376.980011,369.119995,373.549988,365.913788,107997700
2021-01-07,376.100006,379.899994,375.910004,379.100006,371.350433,68766800
2021-01-08,380.589996,381.489990,377.100006,381.260010,373.466248,71677200
2021-01-11,377.850006,380.579987,377.720001,378.690002,370.948792,51034700
2021-01-12,378.890015,379.859985,376.359985,378.769989,371.027130,52547700
2021-01-13,378.690002,380.859985,377.850006,379.790009,372.026306,45303600
2021-01-14,380.589996,381.130005,378.100006,378.459991,370.723450,49989100
2021-01-15,376.720001,377.579987,373.700012,375.700012,368.019867,107160000
2021-01-19,378.339996,379.230011,376.750000,378.649994,370.909576,51233300
2021-01-20,381.109985,384.790009,380.690002,383.890015,376.042450,61836100
2021-01-21,384.489990,384.950012,383.250000,384.239990,376.385284,47840100
2021-01-22,382.250000,384.130005,381.839996,382.880005,375.053131,52860500
2021-01-25,383.670013,384.769989,378.459991,384.390015,376.532288,70402000
2021-01-26,385.410004,385.850006,383.540009,383.790009,375.944519,42665300
2021-01-27,380.220001,380.320007,372.010010,374.410004,366.756256,123351100
2021-01-28,376.359985,381.929993,375.890015,377.630005,369.910431,94198100
2021-01-29,375.630005,376.670013,368.269989,370.070007,362.505005,126765100
2021-02-01,373.720001,377.339996,370.380005,376.230011,368.539093,75817600
2021-02-02,379.649994,383.220001,376.320007,381.549988,373.750275,64450700
2021-02-03,382.440002,383.700012,380.480011,381.850006,374.044159,52427100
2021-02-04,382.959991,386.239990,381.970001,386.190002,378.295441,47142600
2021-02-05,388.200012,388.470001,386.140015,387.709991,379.784363,48669800
2021-02-08,389.269989,390.559998,388.350006,390.510010,382.527161,38365200
2021-02-09,389.609985,390.890015,389.170013,390.250000,382.272461,35551100
2021-02-10,392.119995,392.279999,387.500000,390.079987,382.105896,59154400
2021-02-11,391.239990,391.690002,388.100006,390.709991,382.723053,42913300
2021-02-12,389.850006,392.899994,389.769989,392.640015,384.613617,50593300
2021-02-16,393.959991,394.170013,391.529999,392.299988,384.280579,50972400
2021-02-17,390.420013,392.660004,389.329987,392.390015,384.368713,52290600
2021-02-18,389.589996,391.519989,387.739990,390.720001,382.732880,59712800
2021-02-19,392.070007,392.380005,389.549988,390.029999,382.056946,83241000
2021-02-22,387.059998,389.619995,386.739990,387.029999,379.118256,67414200
2021-02-23,384.660004,388.950012,380.200012,387.500000,379.578644,107284100
2021-02-24,386.329987,392.230011,385.269989,391.769989,383.761353,72433900
2021-02-25,390.410004,391.880005,380.779999,382.329987,374.514343,146670500
2021-02-26,384.350006,385.579987,378.230011,380.359985,372.584595,152701600
2021-03-01,385.589996,390.920013,380.570007,389.579987,381.616119,105348800
2021-03-02,389.820007,390.070007,386.000000,386.540009,378.638306,79595300
2021-03-03,385.790009,386.829987,381.309998,381.420013,373.622986,119940200
2021-03-04,381.220001,384.000000,371.880005,376.700012,368.999481,183433000
2021-03-05,380.459991,384.760010,372.640015,383.630005,375.787781,152039600
2021-03-08,384.660004,387.679993,381.420013,381.720001,373.916809,123149200
2021-03-09,385.850006,389.910004,385.309998,387.170013,379.255432,113633600
