UNDERLYING_LAST,EXPIRE_DATE,DTE,C_DELTA,C_GAMMA,C_VEGA,C_THETA,C_RHO,C_IV,C_VOLUME,C_LAST,STRIKE,STRIKE_DISTANCE_PCT,STRIKE DISTANCE
467.08,1/7/2022,0.15,0.00443,0.00335,0.00278,-0.00525,5e-05,0.16363,1264.0,0.01,477.0,0.021,9.92
467.08,1/7/2022,0.15,0.00344,0.00248,0.00308,-0.00497,-0.00025,0.19303,208.0,0.01,479.0,0.026,11.92
466.9,1/7/2022,1.25,0.03464,0.01401,0.02604,-0.06903,0.00096,0.15942,2120.0,0.08,477.0,0.022,10.1
466.9,1/7/2022,1.25,0.02964,0.01153,0.02257,-0.0609,0.00093,0.16855,1775.0,0.06,478.0,0.024,11.1
466.9,1/7/2022,1.25,0.61816,0.05851,0.13094,-0.72625,0.01591,0.18991,136.0,3.63,465.0,0.004,-1.9
466.9,1/7/2022,1.25,0.55998,0.06244,0.1353,-0.73757,0.01435,0.18407,367.0,3.08,466.0,0.002,-0.9
466.9,1/7/2022,1.25,0.67074,0.05392,0.12391,-0.6951,0.01707,0.19533,39.0,5.39,464.0,0.006,-2.9
467.26,1/7/2022,0.12,0.69771,0.14802,0.07873,-0.42469,0.00633,0.10624,20857.0,1.68,466.0,0.003,-1.26
467.26,1/7/2022,0.12,0.80891,0.10843,0.06159,-0.23983,0.00747,0.11514,11738.0,2.42,465.0,0.005,-2.26
466.9,1/7/2022,1.25,0.29786,0.06025,0.11875,-0.55872,0.00751,0.16745,6247.0,1.08,470.0,0.007,3.1
466.9,1/7/2022,1.25,0.23576,0.05486,0.1062,-0.46,0.00563,0.16364,3388.0,0.77,471.0,0.009,4.1
466.9,1/7/2022,1.25,0.36295,0.06428,0.12874,-0.63303,0.00948,0.16993,4492.0,1.43,469.0,0.004,2.1
466.9,1/7/2022,1.25,0.49678,0.06386,0.13705,-0.74016,0.01278,0.1817,1008.0,2.4,467.0,0.0,0.1
466.9,1/7/2022,1.25,0.42952,0.0657,0.13491,-0.69271,0.01079,0.17365,2101.0,1.88,468.0,0.002,1.1
476.06,1/7/2022,4.1,0.56202,0.06044,0.21559,-0.27167,0.03339,0.11983,8120.0,3.1,475.0,0.002,-1.06
476.06,1/7/2022,4.1,0.50097,0.06416,0.21816,-0.26865,0.02986,0.11638,9157.0,2.51,476.0,0.0,-0.06
476.06,1/7/2022,4.1,0.61922,0.05733,0.20842,-0.26539,0.03662,0.12204,2118.0,3.76,474.0,0.004,-2.06
